"","annotation"
"M8.MAA001872.3_39_F.1.1","Amplifying Cell"
"N11.MAA001872.3_39_F.1.1","Amplifying Cell"
"O16.MAA001872.3_39_F.1.1","Enterocyte 1"
"P20.MAA001872.3_39_F.1.1","Enterocyte 1"
"M9.MAA001872.3_39_F.1.1","Tuft Cell"
"N12.MAA001872.3_39_F.1.1","Amplifying Cell"
"O17.MAA001872.3_39_F.1.1","Enterocyte 1"
"P21.MAA001872.3_39_F.1.1","Goblet Cell 2"
"M10.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"N13.MAA001872.3_39_F.1.1","Enterocyte 1"
"O18.MAA001872.3_39_F.1.1","Amplifying Cell"
"P22.MAA001872.3_39_F.1.1","Amplifying Cell"
"M11.MAA001872.3_39_F.1.1","Goblet Cell 2"
"N14.MAA001872.3_39_F.1.1","Enterocyte 1"
"O19.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O20.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"M12.MAA001872.3_39_F.1.1","Amplifying Cell"
"N16.MAA001872.3_39_F.1.1","Enterocyte 1"
"M14.MAA001872.3_39_F.1.1","Enterocyte 1"
"M13.MAA001872.3_39_F.1.1","Enterocyte 1"
"N17.MAA001872.3_39_F.1.1","Enterocyte 1"
"N18.MAA001872.3_39_F.1.1","Tuft Cell"
"M15.MAA001872.3_39_F.1.1","Enterocyte 1"
"P1.MAA001872.3_39_F.1.1","Amplifying Cell"
"N20.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"P3.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"M16.MAA001872.3_39_F.1.1","Enterocyte 1"
"P4.MAA001872.3_39_F.1.1","Amplifying Cell"
"P5.MAA001872.3_39_F.1.1","Cycling Undiff. Cell"
"M17.MAA001872.3_39_F.1.1","Enterocyte 1"
"N22.MAA001872.3_39_F.1.1","Tuft Cell"
"M18.MAA001872.3_39_F.1.1","Amplifying Cell"
"O1.MAA001872.3_39_F.1.1","Non-Cycling Undiff. Cell"
"P6.MAA001872.3_39_F.1.1","Amplifying Cell"
"A14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P10.MAA001873.3_38_F.1.1","Goblet Cell 2"
"C7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E1.MAA001873.3_38_F.1.1","Amplifying Cell"
"C6.MAA001873.3_38_F.1.1","Amplifying Cell"
"F9.MAA001873.3_38_F.1.1","Cycling Undiff. Cell"
"H8.MAA001873.3_38_F.1.1","Amplifying Cell"
"D21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K10.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L17.MAA001873.3_38_F.1.1","Goblet Cell 4"
"I21.MAA001873.3_38_F.1.1","Goblet Cell 4"
"A18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C8.MAA001873.3_38_F.1.1","Amplifying Cell"
"E3.MAA001873.3_38_F.1.1","Cycling Undiff. Cell"
"F12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L19.MAA001873.3_38_F.1.1","Enterocyte 2"
"N4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L18.MAA001873.3_38_F.1.1","Amplifying Cell"
"O8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P11.MAA001873.3_38_F.1.1","Amplifying Cell"
"C10.MAA001873.3_38_F.1.1","Amplifying Cell"
"E5.MAA001873.3_38_F.1.1","Cycling Undiff. Cell"
"F15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O10.MAA001873.3_38_F.1.1","Tuft Cell"
"P12.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"P13.MAA001873.3_38_F.1.1","Enterocyte 2"
"A21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K15.MAA001873.3_38_F.1.1","Enterocyte 2"
"L21.MAA001873.3_38_F.1.1","Amplifying Cell"
"N6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O11.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"A22.MAA001873.3_38_F.1.1","Amplifying Cell"
"C11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L22.MAA001873.3_38_F.1.1","Amplifying Cell"
"N7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F18.MAA001873.3_38_F.1.1","Amplifying Cell"
"H17.MAA001873.3_38_F.1.1","Enterocyte 2"
"J4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K17.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F20.MAA001873.3_38_F.1.1","Enterocyte 2"
"H19.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M2.MAA001873.3_38_F.1.1","Amplifying Cell"
"N8.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O13.MAA001873.3_38_F.1.1","Goblet Cell 4"
"P16.MAA001873.3_38_F.1.1","Goblet Cell 4"
"B3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C14.MAA001873.3_38_F.1.1","Enterocyte 2"
"E8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K19.MAA001873.3_38_F.1.1","Enterocyte 2"
"M3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N9.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"O14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P17.MAA001873.3_38_F.1.1","Goblet Cell 4"
"B4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G2.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H21.MAA001873.3_38_F.1.1","Amplifying Cell"
"J9.MAA001873.3_38_F.1.1","Amplifying Cell"
"K20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M4.MAA001873.3_38_F.1.1","Goblet Cell 2"
"N10.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B6.MAA001873.3_38_F.1.1","Amplifying Cell"
"C18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E12.MAA001873.3_38_F.1.1","Goblet Cell 5 (Batch Effect)"
"P19.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C19.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E13.MAA001873.3_38_F.1.1","Enterocyte 2"
"G3.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M5.MAA001873.3_38_F.1.1","Goblet Cell 2"
"N11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O16.MAA001873.3_38_F.1.1","Goblet Cell 4"
"P20.MAA001873.3_38_F.1.1","Amplifying Cell"
"G7.MAA001873.3_38_F.1.1","Amplifying Cell"
"I1.MAA001873.3_38_F.1.1","Amplifying Cell"
"J13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B10.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C20.MAA001873.3_38_F.1.1","Goblet Cell 2"
"E14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C22.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I2.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"J14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D2.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L1.MAA001873.3_38_F.1.1","Goblet Cell 2"
"M7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N13.MAA001873.3_38_F.1.1","Enterocyte 2"
"O19.MAA001873.3_38_F.1.1","Amplifying Cell"
"P22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B16.MAA001873.3_38_F.1.1","Enterocyte 2"
"I3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E17.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L2.MAA001873.3_38_F.1.1","Amplifying Cell"
"M8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N15.MAA001873.3_38_F.1.1","Enterocyte 2"
"O20.MAA001873.3_38_F.1.1","Amplifying Cell"
"I5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B17.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"E19.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J17.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M10.MAA001873.3_38_F.1.1","Enterocyte 1"
"N16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"O22.MAA001873.3_38_F.1.1","Amplifying Cell"
"B18.MAA001873.3_38_F.1.1","Amplifying Cell"
"D5.MAA001873.3_38_F.1.1","Amplifying Cell"
"E20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J18.MAA001873.3_38_F.1.1","Amplifying Cell"
"L6.MAA001873.3_38_F.1.1","Amplifying Cell"
"M11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N17.MAA001873.3_38_F.1.1","Enterocyte 2"
"I7.MAA001873.3_38_F.1.1","Amplifying Cell"
"A1.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"B20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D7.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"E21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J19.MAA001873.3_38_F.1.1","Enterocyte 2"
"I9.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"J20.MAA001873.3_38_F.1.1","Amplifying Cell"
"L8.MAA001873.3_38_F.1.1","Amplifying Cell"
"L7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M13.MAA001873.3_38_F.1.1","Goblet Cell 4"
"N18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P1.MAA001873.3_38_F.1.1","Goblet Cell 2"
"A3.MAA001873.3_38_F.1.1","Goblet Cell 2"
"D9.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F1.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G19.MAA001873.3_38_F.1.1","Enterocyte 2"
"I11.MAA001873.3_38_F.1.1","Amplifying Cell"
"J21.MAA001873.3_38_F.1.1","Amplifying Cell"
"M14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L10.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N19.MAA001873.3_38_F.1.1","Amplifying Cell"
"P2.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"D10.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F2.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G21.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I13.MAA001873.3_38_F.1.1","Enterocyte 1"
"J22.MAA001873.3_38_F.1.1","Enterocyte 1"
"L11.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N21.MAA001873.3_38_F.1.1","Goblet Cell 4"
"P4.MAA001873.3_38_F.1.1","Amplifying Cell"
"A5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K1.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M18.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"N22.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P5.MAA001873.3_38_F.1.1","Goblet Cell 2"
"A8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"A6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C1.MAA001873.3_38_F.1.1","Amplifying Cell"
"D12.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"G22.MAA001873.3_38_F.1.1","Enterocyte 2"
"A9.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I17.MAA001873.3_38_F.1.1","Enterocyte 2"
"F4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H1.MAA001873.3_38_F.1.1","Amplifying Cell"
"I16.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K3.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M19.MAA001873.3_38_F.1.1","Amplifying Cell"
"O1.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"K4.MAA001873.3_38_F.1.1","Amplifying Cell"
"A10.MAA001873.3_38_F.1.1","Amplifying Cell"
"C4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D17.MAA001873.3_38_F.1.1","Enterocyte 2"
"F6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"H4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"I18.MAA001873.3_38_F.1.1","Goblet Cell 4"
"K6.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L15.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L14.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M21.MAA001873.3_38_F.1.1","Non-Cycling Undiff. Cell"
"O4.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P8.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"M20.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"P7.MAA001873.3_38_F.1.1","Undiff. Cell (Batch Effect)"
"H6.MAA001873.3_38_F.1.1","Goblet Cell 2"
"I19.MAA001873.3_38_F.1.1","Enterocyte 2"
"K9.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"L16.MAA001873.3_38_F.1.1","Goblet Cell 4"
"M22.MAA001873.3_38_F.1.1","Enterocyte 2"
"O5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"A13.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"C5.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"D19.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"F7.MAA001873.3_38_F.1.1","Goblet Cell 3 (Batch Effect)"
"B20.MAA001875.3_39_F.1.1","Amplifying Cell"
"A16.MAA001875.3_39_F.1.1","Enterocyte 2"
"C1.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"A18.MAA001875.3_39_F.1.1","Goblet Cell 1"
"A20.MAA001875.3_39_F.1.1","Tuft Cell"
"A21.MAA001875.3_39_F.1.1","Goblet Cell 1"
"A22.MAA001875.3_39_F.1.1","Enterocyte 2"
"B2.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"A1.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"B4.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"A2.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"B6.MAA001875.3_39_F.1.1","Goblet Cell 1"
"B7.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"B8.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"A7.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B10.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B9.MAA001875.3_39_F.1.1","Goblet Cell 1"
"B13.MAA001875.3_39_F.1.1","Enterocyte 2"
"A11.MAA001875.3_39_F.1.1","Goblet Cell 1"
"B17.MAA001875.3_39_F.1.1","Enterocyte 2"
"A12.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"B19.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K18.MAA001875.3_39_F.1.1","Goblet Cell 4"
"M7.MAA001875.3_39_F.1.1","Amplifying Cell"
"N15.MAA001875.3_39_F.1.1","Enterocyte 2"
"P3.MAA001875.3_39_F.1.1","Goblet Cell 5 (Batch Effect)"
"E17.MAA001875.3_39_F.1.1","Enterocyte 2"
"G6.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H14.MAA001875.3_39_F.1.1","Enterocyte 2"
"P4.MAA001875.3_39_F.1.1","Amplifying Cell"
"D7.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"H15.MAA001875.3_39_F.1.1","Enterocyte 2"
"J9.MAA001875.3_39_F.1.1","Amplifying Cell"
"K19.MAA001875.3_39_F.1.1","Enterocyte 2"
"M8.MAA001875.3_39_F.1.1","Amplifying Cell"
"N16.MAA001875.3_39_F.1.1","Enterocyte 2"
"P5.MAA001875.3_39_F.1.1","Amplifying Cell"
"H16.MAA001875.3_39_F.1.1","Enterocyte 2"
"N21.MAA001875.3_39_F.1.1","Amplifying Cell"
"G9.MAA001875.3_39_F.1.1","Amplifying Cell"
"H17.MAA001875.3_39_F.1.1","Goblet Cell 4"
"N22.MAA001875.3_39_F.1.1","Goblet Cell 1"
"C6.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"D12.MAA001875.3_39_F.1.1","Amplifying Cell"
"D11.MAA001875.3_39_F.1.1","Goblet Cell 2"
"H19.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J12.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"K22.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"I1.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"P10.MAA001875.3_39_F.1.1","Goblet Cell 5 (Batch Effect)"
"C8.MAA001875.3_39_F.1.1","Amplifying Cell"
"J14.MAA001875.3_39_F.1.1","Enterocyte 2"
"L1.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"M13.MAA001875.3_39_F.1.1","Enterocyte 2"
"D15.MAA001875.3_39_F.1.1","Enterocyte 2"
"P13.MAA001875.3_39_F.1.1","Enterocyte 2"
"F5.MAA001875.3_39_F.1.1","Goblet Cell 5 (Batch Effect)"
"I2.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J16.MAA001875.3_39_F.1.1","Enterocyte 2"
"L3.MAA001875.3_39_F.1.1","Amplifying Cell"
"M14.MAA001875.3_39_F.1.1","Enterocyte 2"
"O2.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"L4.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O3.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"P20.MAA001875.3_39_F.1.1","Goblet Cell 4"
"F6.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"G14.MAA001875.3_39_F.1.1","Goblet Cell 4"
"I3.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J17.MAA001875.3_39_F.1.1","Enterocyte 2"
"C10.MAA001875.3_39_F.1.1","Goblet Cell 1"
"O4.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"P21.MAA001875.3_39_F.1.1","Goblet Cell 5 (Batch Effect)"
"C12.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"F7.MAA001875.3_39_F.1.1","Amplifying Cell"
"G15.MAA001875.3_39_F.1.1","Enterocyte 2"
"I4.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"J18.MAA001875.3_39_F.1.1","Goblet Cell 4"
"L5.MAA001875.3_39_F.1.1","Amplifying Cell"
"O5.MAA001875.3_39_F.1.1","Goblet Cell 5 (Batch Effect)"
"G16.MAA001875.3_39_F.1.1","Enterocyte 2"
"I6.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"M19.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O7.MAA001875.3_39_F.1.1","Goblet Cell 1"
"C13.MAA001875.3_39_F.1.1","Enterocyte 2"
"G17.MAA001875.3_39_F.1.1","Enterocyte 2"
"F12.MAA001875.3_39_F.1.1","Goblet Cell 1"
"C16.MAA001875.3_39_F.1.1","Goblet Cell 4"
"L8.MAA001875.3_39_F.1.1","Goblet Cell 2"
"O10.MAA001875.3_39_F.1.1","Amplifying Cell"
"F13.MAA001875.3_39_F.1.1","Enterocyte 2"
"C17.MAA001875.3_39_F.1.1","Enterocyte 2"
"I9.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"L10.MAA001875.3_39_F.1.1","Amplifying Cell"
"M21.MAA001875.3_39_F.1.1","Amplifying Cell"
"G20.MAA001875.3_39_F.1.1","Goblet Cell 4"
"N1.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"L13.MAA001875.3_39_F.1.1","Enterocyte 2"
"O12.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"F15.MAA001875.3_39_F.1.1","Enterocyte 2"
"G21.MAA001875.3_39_F.1.1","Goblet Cell 2"
"L15.MAA001875.3_39_F.1.1","Enterocyte 2"
"N3.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O13.MAA001875.3_39_F.1.1","Enterocyte 2"
"C20.MAA001875.3_39_F.1.1","Amplifying Cell"
"G22.MAA001875.3_39_F.1.1","Amplifying Cell"
"I13.MAA001875.3_39_F.1.1","Enterocyte 2"
"E7.MAA001875.3_39_F.1.1","Amplifying Cell"
"N4.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"F20.MAA001875.3_39_F.1.1","Cycling Undiff. Cell"
"I14.MAA001875.3_39_F.1.1","Enterocyte 2"
"K7.MAA001875.3_39_F.1.1","Enterocyte 2"
"E8.MAA001875.3_39_F.1.1","Amplifying Cell"
"F21.MAA001875.3_39_F.1.1","Goblet Cell 3 (Batch Effect)"
"H2.MAA001875.3_39_F.1.1","Goblet Cell 2"
"I18.MAA001875.3_39_F.1.1","Goblet Cell 2"
"K8.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O18.MAA001875.3_39_F.1.1","Amplifying Cell"
"H6.MAA001875.3_39_F.1.1","Amplifying Cell"
"K9.MAA001875.3_39_F.1.1","Goblet Cell 1"
"L22.MAA001875.3_39_F.1.1","Amplifying Cell"
"C22.MAA001875.3_39_F.1.1","Tuft Cell"
"O19.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"G1.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"O20.MAA001875.3_39_F.1.1","Amplifying Cell"
"I22.MAA001875.3_39_F.1.1","Non-Cycling Undiff. Cell"
"N7.MAA001875.3_39_F.1.1","Amplifying Cell"
